Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage,# Kills,Notes
C1E001,0:37:53,Vex'ahlia,Intelligence,20,18,,,,FIRST ROLL OMG
C1E001,0:41:48,Grog,Persuasion,19,18,,,,
C1E001,0:43:25,Keyleth,Persuasion,2,2,,,,
C1E001,0:46:35,Tiberius,Persuasion,12,3,,,,Disregarded due to advantage
C1E001,0:46:35,Tiberius,Persuasion,27,18,,,,With advantage
C1E001,0:46:35,Percy,Assist,21,15,,,,
C1E001,0:47:52,Keyleth,Insight,27,17,,,,
C1E001,1:00:35,Vex'ahlia,Persuasion,21,18,,,,
C1E001,1:05:16,Vex'ahlia,Stealth,15,6,,,,
C1E001,1:05:16,Vax'ildan,Stealth,20,7,,,,
C1E001,1:05:16,Scanlan,Constitution,20,18,,,,
C1E001,1:07:32,Tiberius,Perception,5,8,,,,
C1E001,1:08:18,Tiberius,Dexterity Save,15,12,,,,
C1E001,1:12:39,Tiberius,Intimidation,18,13,,,,
C1E001,1:13:24,Tiberius,Persuasion,24,13,,,,
C1E001,1:17:29,Vex'ahlia,Charisma,Nat1,1,,,,FIRST CRIT FAIL
C1E001,1:19:58,Vax'ildan,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
C1E001,1:19:58,Vax'ildan,Stealth,21,8,,,,With Advantage
C1E001,1:20:40,Vax'ildan,Attack,Unknown,4,,,,Disregarded due to advantage
C1E001,1:20:40,Vax'ildan,Attack,26,15,,,,Dagger Handle With advantage
C1E001,1:21:30,Vax'ildan,Damage,27,,,,,FIRST DAMAGE
C1E001,1:22:15,Vax'ildan,Acrobatics,30,17,,,,
C1E001,1:24:15,Keyleth,Performance,Nat20,20,,,,FIRST NAT 20
C1E001,1:26:49,Vax'ildan,Persuasion,15,13,,,,Disregarded due to advantage
C1E001,1:26:49,Vax'ildan,Persuasion,15,13,,,,With advantage
C1E001,1:48:38,Tiberius,Persuasion,19,10,,,,
C1E001,1:50:07,Vex'ahlia,Persuasion,23,16,,,,
C1E001,1:59:06,Scanlan,Stealth,16,14,,,,Disregarded due to advantage
C1E001,1:59:18,Scanlan,Stealth,16,14,,,,With advantage
C1E001,2:02:41,Scanlan,Dexterity,Unknown,Unknown,,,,Disregarded due to disadvantage
C1E001,2:02:41,Scanlan,Dexterity,11,11,,,,With disadvantage
C1E001,2:19:48,Vax'ildan,Stealth,13,4,,,,
C1E001,2:23:18,Percy,Attack,19,7,,,1,Pepperbox
C1E001,2:23:18,Vex'ahlia,Attack,15,4,,,1,Arrow
C1E001,2:23:18,Vax'ildan,Attack,19,9,,,1,Dagger
C1E001,2:25:06,Grog,Initiative,18,16,,,,
C1E001,2:25:06,Keyleth,Initiative,4,2,,,,
C1E001,2:25:06,Percy,Initiative,27,20,,,,
C1E001,2:25:06,Scanlan,Initiative,3,3,,,,
C1E001,2:25:06,Tiberius,Initiative,21,19,,,,
C1E001,2:25:06,Vax'ildan,Initiative,6,1,,,,
C1E001,2:25:06,Vex'ahlia,Initiative,18,13,,,,
C1E001,2:27:50,Percy,Attack,30,19,Y,,,"Bad News, FIRST CRIT"
C1E001,2:28:30,Percy,Damage,27,,,27 to Ogre,,
C1E001,2:30:57,Tiberius,Damage,27,,,"27 to 5 Goblins, 14 (27/2) to 2 Ogres",5,Fireball
C1E001,2:32:11,Tiberius,Damage,10,,,10 to 2 Ogres,,"Telekinesis, Ogres are prone"
C1E001,2:33:00,Vex'ahlia,Attack,21,10,,,,Lightning Arrow
C1E001,2:33:17,Vex'ahlia,Damage,30,,,30 Lightning to Ogre,1,
C1E001,2:34:17,Vex'ahlia,Damage,10,,,10 Lightning to Ogre,,
C1E001,2:34:54,Grog,Insight,Nat20,20,,,,
C1E001,2:34:54,Keyleth,Insight,20,10,,,,
C1E001,2:34:54,Percy,Insight,Nat1,1,,,,
C1E001,2:34:54,Scanlan,Insight,Unknown,Unknown,,,,"Gestures for bad roll, no number"
C1E001,2:34:54,Tiberius,Insight,4,7,,,,
C1E001,2:34:54,Vax'ildan,Insight,4,2,,,,
C1E001,2:34:54,Vex'ahlia,Insight,22,16,,,,
C1E001,2:36:28,Grog,Attack,26,18,,,,Axe
C1E001,2:36:39,Grog,Damage,13,,,13 to Goblin,1,
C1E001,2:37:07,Grog,Attack,21,13,,,,Axe
C1E001,2:37:11,Grog,Damage,15,,,15 to Goblin,1,
C1E001,2:39:00,Vax'ildan,Attack,Nat1,1,,,,
C1E001,2:39:00,Vax'ildan,Attack,Nat20,20,Y,,,Dagger of Venom
C1E001,2:39:15,Vax'ildan,Damage,35,,,35 to Ogre,1,"Damage should include poison, 
number not given because dead without"
C1E001,2:41:30,Keyleth,Intimidation,4,4,,,,
C1E001,2:47:55,Tiberius,Attack,23,14,,,,Scorching Ray
C1E001,2:48:08,Tiberius,Damage,12,,,12 Fire to Naga,,
C1E001,2:48:17,Tiberius,Attack,Nat20,20,Y,,,Scorching Ray
C1E001,2:48:38,Tiberius,Damage,12,,,24 Fire to Naga,,
C1E001,2:49:04,Vex'ahlia,Stealth,20,11,,,,
C1E001,2:49:42,Vex'ahlia,Attack,21,10,,,,Arrow through Blazing Bowstring
C1E001,2:50:10,Vex'ahlia,Damage,18,,,18 (11+7 Fire) to Naga,,
C1E001,2:50:26,Vex'ahlia,Attack,24,13,,,,Arrow through Blazing Bowstring
C1E001,2:50:34,Vex'ahlia,Damage,14,,,14 (7+7 Fire) to Naga,,
C1E001,2:51:12,Grog,Attack,17,9,,,,Thrown Axe
